"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","4501","trtexec","127.0.0.1","void implicit_convolve_sgemm<float, float, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","44.38"
"0","4501","trtexec","127.0.0.1","void implicit_convolve_sgemm<float, float, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","13.21"
"1","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<3, float, float, float, 256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, 0>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","5.41"
"1","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<3, float, float, float, 256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, 0>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","11.46"
"2","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<1, float, float, float, 256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, 1>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.93"
"2","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<1, float, float, float, 256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, 1>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","12.37"
"3","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 4, 28, 513, 2, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.77"
"3","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 4, 28, 513, 2, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","9.26"
"4","4501","trtexec","127.0.0.1","void genericReformat::copyPackedKernel<float, float, true, true, genericReformat::ArrayN<4>, 4>(unsigned int, unsigned int, void const*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, void*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, genericReformat::ArrayN<4>)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","5.22"
"4","4501","trtexec","127.0.0.1","void genericReformat::copyPackedKernel<float, float, true, true, genericReformat::ArrayN<4>, 4>(unsigned int, unsigned int, void const*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, void*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, genericReformat::ArrayN<4>)","2021-Sep-18 06:35:43","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","7.96"
"5","4501","trtexec","127.0.0.1","trt_volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_small_nhwc_tn_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","96.58"
"5","4501","trtexec","127.0.0.1","trt_volta_scudnn_128x32_sliced1x4_ldg4_relu_exp_small_nhwc_tn_v1","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","5.74"
"6","4501","trtexec","127.0.0.1","void genericReformat::copyPackedKernel<float, float, false, true, genericReformat::IdentityCoordMapper<4>, 4>(unsigned int, unsigned int, void const*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, void*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, genericReformat::IdentityCoordMapper<4>)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","7.84"
"6","4501","trtexec","127.0.0.1","void genericReformat::copyPackedKernel<float, float, false, true, genericReformat::IdentityCoordMapper<4>, 4>(unsigned int, unsigned int, void const*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, void*, genericReformat::ArrayN<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayNWithReducedDivisors<4>, genericReformat::ArrayN<4>, int, int, int, float const*, genericReformat::IdentityCoordMapper<4>)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","25.24"
"7","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 14, 14, 841, 2, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.13"
"7","4501","trtexec","127.0.0.1","void nvinfer1::rt::cuda::poolCHW_PQT<3, 3, 2, 2, 14, 14, 841, 2, 1, true, (nvinfer1::rt::cuda::ITiledPooling::PoolingMode)0, false>(nvinfer1::rt::cuda::TiledPoolingParams, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","7.02"
